frame_idx,mpjpe_mm,pampjpe_mm,num_clips
0,47.702403,38.000664,2364
1,47.177746,37.540830,2364
2,46.828109,37.229766,2364
3,46.643385,37.075652,2364
4,46.387710,36.872453,2364
5,46.222769,36.764171,2364
6,46.141393,36.735710,2364
7,46.002495,36.648267,2364
8,45.913542,36.594322,2364
9,45.869664,36.586244,2364
10,45.775863,36.524080,2364
11,45.739507,36.513949,2364
12,45.749323,36.541892,2364
13,45.663345,36.470882,2364
14,45.612050,36.451146,2364
15,45.614496,36.488941,2364
16,45.556048,36.429385,2364
17,45.544785,36.418665,2364
18,45.574026,36.447600,2364
19,45.528414,36.386365,2364
20,45.509738,36.357198,2364
21,45.530735,36.370326,2364
22,45.509798,36.354893,2364
23,45.515255,36.370488,2364
24,45.569406,36.428298,2364
25,45.551021,36.403356,2364
26,45.559889,36.406553,2364
27,45.619429,36.465075,2364
28,45.592256,36.421891,2364
29,45.567231,36.395775,2364
30,45.567653,36.397425,2364
31,45.485220,36.324775,2364
32,45.428963,36.264622,2364
33,45.404709,36.243993,2364
34,45.318967,36.158518,2364
35,45.235784,36.072722,2364
36,45.204490,36.025647,2364
37,45.124880,35.940296,2364
38,45.072002,35.870213,2364
39,45.086063,35.862868,2364
40,45.040749,35.815100,2364
41,45.006089,35.803282,2364
42,45.002759,35.840351,2364
43,44.946491,35.840089,2364
44,44.907617,35.838065,2364
45,44.911322,35.876997,2364
46,44.870322,35.861314,2364
47,44.823083,35.830029,2364
48,44.802996,35.834165,2364
49,44.744886,35.813714,2364
50,44.684525,35.796860,2364
51,44.673570,35.824122,2364
52,44.623808,35.815421,2364
53,44.557863,35.790824,2364
54,44.542593,35.802071,2364
55,44.527353,35.794739,2364
56,44.520953,35.784470,2364
57,44.557879,35.823299,2364
58,44.580678,35.831636,2364
59,44.589244,35.819539,2364
60,44.612938,35.837127,2364
61,44.615279,35.819866,2364
62,44.587344,35.771142,2364
63,44.557976,35.741123,2364
64,44.507981,35.687308,2364
65,44.456155,35.628756,2364
66,44.428469,35.603640,2364
67,44.370948,35.562069,2364
68,44.288164,35.483560,2364
69,44.243264,35.446672,2364
70,44.189129,35.393240,2364
71,44.129101,35.320635,2364
72,44.110403,35.299968,2364
73,44.093509,35.282926,2364
74,44.052285,35.240879,2364
75,44.056508,35.244717,2364
76,44.042965,35.245754,2364
77,43.983867,35.198952,2364
78,43.950587,35.181069,2364
79,43.933686,35.162824,2364
80,43.905608,35.118878,2364
81,43.911139,35.107178,2364
82,43.919970,35.094396,2364
83,43.869094,35.016658,2364
84,43.875674,35.008372,2364
85,43.892230,35.027374,2364
86,43.858284,35.011606,2364
87,43.877926,35.049327,2364
88,43.895684,35.081842,2364
89,43.840136,35.039266,2364
90,43.839171,35.040198,2364
91,43.851459,35.043199,2364
92,43.802887,34.985510,2364
93,43.788447,34.965769,2364
94,43.799871,34.960855,2364
95,43.751706,34.910833,2364
96,43.747883,34.893182,2364
97,43.760960,34.885872,2364
98,43.720216,34.847633,2364
99,43.709737,34.847628,2364
100,43.728711,34.873212,2364
101,43.731537,34.874016,2364
102,43.770127,34.904267,2364
103,43.817673,34.949080,2364
104,43.801705,34.931672,2364
105,43.822925,34.946081,2364
106,43.844465,34.961686,2364
107,43.815587,34.932084,2364
108,43.826871,34.936906,2364
109,43.871708,34.961456,2364
110,43.853922,34.935246,2364
111,43.831744,34.931555,2364
112,43.867730,34.968465,2364
113,43.826243,34.910052,2364
114,43.842780,34.913907,2364
115,43.915860,34.971969,2364
116,43.913094,34.928824,2364
117,43.952151,34.945876,2364
118,44.029368,35.012009,2364
119,44.000362,34.964656,2364
120,44.024675,34.971899,2364
121,44.092743,35.043054,2364
122,44.042722,34.990182,2364
123,44.050019,34.989298,2364
124,44.106889,35.020017,2364
125,44.085649,34.975147,2364
126,44.105069,34.987163,2364
127,44.176475,35.037939,2364
128,44.199437,35.039279,2364
129,44.253957,35.084710,2364
130,44.325830,35.162568,2364
131,44.304259,35.151634,2364
132,44.322119,35.175796,2364
133,44.396615,35.252085,2364
134,44.412215,35.262842,2364
135,44.450969,35.310234,2364
136,44.505715,35.379715,2364
137,44.513602,35.381664,2364
138,44.537889,35.414355,2364
139,44.609308,35.486211,2364
140,44.608635,35.480528,2364
141,44.616513,35.488065,2364
142,44.667352,35.534036,2364
143,44.656886,35.514121,2364
144,44.671829,35.515953,2364
145,44.700709,35.556229,2364
146,44.696768,35.550341,2364
147,44.705466,35.562489,2364
148,44.724584,35.592537,2364
149,44.714132,35.579848,2364
150,44.718931,35.581689,2364
151,44.760997,35.629744,2364
152,44.755513,35.641747,2364
153,44.773171,35.678647,2364
154,44.811719,35.734083,2364
155,44.824992,35.752536,2364
156,44.833498,35.768667,2364
157,44.867209,35.823111,2364
158,44.879313,35.835141,2364
159,44.882240,35.834798,2364
160,44.931863,35.889644,2364
161,44.950839,35.910728,2364
162,44.954639,35.916268,2364
163,44.992858,35.954002,2364
164,45.005478,35.953686,2364
165,45.009285,35.944924,2364
166,45.047303,35.967832,2364
167,45.022179,35.955591,2364
168,44.996784,35.931520,2364
169,45.021059,35.958916,2364
170,45.011013,35.940388,2364
171,44.998343,35.901504,2364
172,45.027494,35.904229,2364
173,45.024496,35.902411,2364
174,44.988670,35.890516,2364
175,45.004706,35.917861,2364
176,45.003289,35.927758,2364
177,44.993541,35.920419,2364
178,45.013772,35.946431,2364
179,45.033506,35.951062,2364
180,45.069822,35.951537,2364
181,45.124963,35.980871,2364
182,45.154841,35.991895,2364
183,45.166877,35.994457,2364
184,45.200622,36.033390,2364
185,45.223996,36.067474,2364
186,45.222498,36.081797,2364
187,45.282885,36.154357,2364
188,45.344535,36.218124,2364
189,45.379505,36.249283,2364
190,45.441746,36.320473,2364
191,45.483806,36.356131,2364
192,45.478290,36.330377,2364
193,45.498482,36.332134,2364
194,45.513512,36.327345,2364
195,45.505363,36.307302,2364
196,45.518236,36.333406,2364
197,45.544236,36.360211,2364
198,45.563704,36.373218,2364
199,45.623114,36.425532,2364
200,45.691299,36.472432,2364
201,45.716923,36.478887,2364
202,45.777831,36.533208,2364
203,45.843643,36.600660,2364
204,45.869096,36.626432,2364
205,45.939185,36.697809,2364
206,45.998602,36.748710,2364
207,45.979733,36.726085,2364
208,46.015617,36.735786,2364
209,46.064946,36.759626,2364
210,46.036563,36.718368,2364
211,46.060952,36.711068,2364
212,46.106197,36.722485,2364
213,46.074915,36.694429,2364
214,46.074756,36.691294,2364
215,46.086309,36.704944,2364
216,46.067462,36.677161,2364
217,46.094240,36.701569,2364
218,46.147142,36.758154,2364
219,46.186211,36.788161,2364
220,46.264467,36.847571,2364
221,46.362705,36.919423,2364
222,46.399228,36.934201,2364
223,46.489137,36.996592,2364
224,46.576762,37.075791,2364
225,46.607616,37.083830,2364
226,46.652252,37.124650,2364
227,46.715270,37.182953,2364
228,46.713297,37.181945,2364
229,46.759338,37.247502,2364
230,46.846179,37.356284,2364
231,46.856402,37.373130,2364
232,46.930838,37.455009,2364
233,47.047934,37.579344,2364
234,47.074645,37.604118,2364
235,47.166447,37.672298,2364
236,47.295985,37.777440,2364
237,47.337817,37.816292,2364
238,47.459708,37.922462,2364
239,47.669525,38.106012,2364
240,47.794202,38.223901,2364
241,48.086197,38.487627,2364
242,48.579546,38.923071,2364
